Codul SIRUTA;Denumire UAT;Populatia UAT;Nr. max. posturi cf. pct. 1 din anexa la O.U.G nr. 63/2010;Reducere cu 40% nr. max posturi;Reducere cu 45% nr. max posturi;Posturi pt. evidența populației;Posturi pt. poliţia locală;1 post poliție la 1200 locuitori;Posturi pt. implementare proiecte europene;Posturi pt. șoferi microbuze şcolare;Posturi pt. postimplementare proiecte europene;TOTAL ACTUAL;TOTAL CU REDUCERE 40%;TOTAL CU REDUCERE 45%;POSTURI OCUPATE;Diferență reducere 40% vs. posturi ocupate;Diferență reducere 45% vs. posturi ocupate
47453;Merei;6480;35;21;19;0;0;0;3;1;2;41;27;25;40;-13;-15
47578;Mihăileşti;2110;16;10;9;0;0;0;2;1;0;19;13;12;17;-4;-5
47630;Mânzăleşti;2063;20;12;11;0;0;0;0;0;0;20;12;11;17;-5;-6
47774;Movila Banului;2425;20;12;11;0;0;0;0;1;0;21;13;12;18;-5;-6
47818;Murgeşti;753;12;7;7;0;0;0;0;1;0;13;8;8;9;-1;-1
47854;Năeni;1542;15;9;8;0;0;0;0;1;0;16;10;9;16;-6;-7
47916;Nehoiu;10042;81;49;45;3;0;0;0;3;0;87;55;51;67;-12;-16
48021;Odăile;622;10;6;6;0;0;0;0;1;0;11;7;7;9;-2;-3
48138;Padina;3522;25;15;14;0;0;0;0;0;3;28;18;17;19;-1;-2
48165;Pardoşi;307;9;5;5;0;0;0;0;1;0;10;6;6;8;-2;-2
48227;Pănătău;2089;20;12;11;0;0;0;0;1;0;21;13;12;16;-3;-4
48325;Pătârlagele;7092;60;36;33;3;0;0;0;2;0;65;41;38;35;6;3
48487;Pietroasele;2996;20;12;11;0;0;0;0;1;0;21;13;12;17;-4;-5
48557;Pârscov;5237;30;18;17;3;0;0;3;2;0;38;26;25;36;-10;-12
48682;Podgoria;2955;20;12;11;0;0;0;0;1;0;21;13;12;15;-2;-3
48744;Pogoanele;6859;59;35;32;4;7;6;0;1;0;71;46;43;62;-16;-19
48771;Poşta Câlnău;5983;32;19;18;0;0;0;3;1;0;36;23;22;31;-8;-9
48842;Puieşti;3251;24;14;13;0;0;0;0;1;0;25;15;14;21;-6;-7
48922;Racoviţeni;1186;14;8;8;0;0;0;0;1;0;15;9;9;15;-6;-6
48968;Râmnicelu;5169;27;16;15;0;0;0;3;0;3;33;22;21;29;-7;-8
49019;Robeasca;991;12;7;7;0;0;0;5;1;0;18;13;13;9;4;4
49046;Ruşeţu;3344;23;14;13;0;0;0;0;1;0;24;15;14;21;-6;-7
49073;Săgeata;4202;27;16;15;0;4;4;0;2;0;33;22;20;22;0;-2
49153;Săhăteni;3128;21;13;12;3;0;0;0;0;0;24;16;15;20;-4;-5
49206;Săpoca;3472;21;13;12;0;3;3;0;1;0;25;16;15;22;-6;-7
49233;Săruleşti;1162;14;8;8;0;0;0;0;1;0;15;9;9;9;0;0
49313;Scorţoasa;2395;20;12;11;0;0;0;0;1;0;21;13;12;21;-8;-9
49439;Scutelnici;1943;18;11;10;0;0;0;0;1;0;19;12;11;15;-3;-4
49484;Siriu;3077;20;12;11;0;0;0;5;1;0;26;18;17;22;-4;-5
49545;Smeeni;6383;35;21;19;0;0;0;0;1;0;36;22;20;32;-10;-12
49625;Stâlpu;3062;20;12;11;0;0;0;0;1;0;21;13;12;21;-8;-9
49643;Tisău;4216;27;16;15;0;0;0;0;2;0;29;18;17;27;-9;-10
49769;Topliceni;4138;26;16;14;0;0;0;0;1;0;27;17;15;24;-7;-9
49849;Ţinteşti;4452;27;16;15;0;0;0;0;1;0;28;17;16;22;-5;-6
49894;Ulmeni;2993;20;12;11;0;0;0;0;0;0;20;12;11;13;-1;-2
49956;Vadu Paşii;10084;40;24;22;0;0;0;5;0;7;52;36;34;37;-1;-3
50022;Valea Râmnicului;5291;30;18;17;0;5;4;0;0;0;35;22;21;24;-2;-3
50068;Valea Salciei;594;9;5;5;0;0;0;0;0;0;9;5;5;8;-3;-3
50102;Verneşti;9278;39;23;21;0;0;0;5;1;0;45;29;27;25;4;2
50228;Vintilă Vodă;2658;20;12;11;0;0;0;0;2;0;22;14;13;16;-2;-3
50326;Vipereşti;3317;23;14;13;0;0;0;0;1;0;24;15;14;21;-6;-7
50399;Vâlcelele;1328;14;8;8;0;0;0;0;1;0;15;9;9;16;-7;-7
50415;Zărneşti;4794;27;16;15;3;5;4;0;2;0;37;25;24;31;-6;-7
50479;Ziduri;3983;27;16;15;0;0;0;0;1;0;28;17;16;0;17;16
50549;Unguriu;2154;20;12;11;0;0;0;0;1;0;21;13;12;14;-1;-2
50564;Florica;1152;15;9;8;0;0;0;0;1;0;16;10;9;14;-4;-5
519;CJ Călăraşi;294334;351;211;193;20;0;0;10;0;0;381;241;223;223;18;0
92569;Călăraşi;70861;531;319;292;21;71;59;10;0;0;633;409;382;491;-82;-109
92587;Modelu;10587;49;29;27;0;0;0;8;2;5;64;44;42;46;-2;-4
92961;Borcea;7608;43;26;24;0;0;0;10;2;0;55;38;36;29;9;7
93085;Ciocăneşti;3753;29;17;16;0;0;0;5;2;0;36;24;23;25;-1;-2
93281;Cuza Vodă;4054;28;17;15;0;0;0;8;1;0;37;26;24;18;8;6
93325;Dichiseni;1730;17;10;9;0;0;0;10;1;0;28;21;20;16;5;4
93370;Dor Mărunt;6573;40;24;22;0;0;0;3;2;0;45;29;27;31;-2;-4
93441;Dorobanţu;2566;22;13;12;0;0;0;3;0;0;25;16;15;18;-2;-3
93487;Dragalina;8269;43;26;24;3;8;7;10;1;1;66;48;46;42;6;4
93539;Dragoş Vodă;2797;24;14;13;0;0;0;5;1;0;30;20;19;13;7;6
93664;Grădiştea;4626;30;18;17;0;0;0;5;2;0;37;25;24;23;2;1
93771;Independenţa;3369;23;14;13;0;0;0;3;0;0;26;17;16;19;-2;-3
93815;Jegălia;3905;29;17;16;0;0;0;5;0;8;42;30;29;27;3;2
93851;Lehliu;2416;22;13;12;0;0;0;0;1;0;23;14;13;14;0;-1
93888;Lehliu-Gară;6204;57;34;31;5;6;5;10;2;1;81;57;55;52;5;3
93931;Lupşanu;2815;22;13;12;0;0;0;3;2;0;27;18;17;18;0;-1
94125;Alexandru Odobescu;2607;22;13;12;0;3;2;5;1;0;31;21;20;23;-2;-3
94223;Perişoru;4992;30;18;17;0;0;0;0;1;0;31;19;18;22;-3;-5
94312;Roseţi;6497;36;22;20;0;0;0;0;1;0;37;23;21;31;-8;-10
94562;Ştefan Cel Mare;3267;22;13;12;0;3;3;5;3;2;35;26;25;21;5;4
94580;Ştefan Vodă;2198;21;13;12;0;0;0;5;0;0;26;18;17;19;-1;-2
94606;Ulmu;1126;16;10;9;0;0;0;8;0;0;24;18;17;13;5;4
94651;Unirea;2638;22;13;12;0;0;0;10;1;0;33;24;23;18;6;5
94731;Vâlcelele;1604;17;10;9;0;3;1;3;1;0;24;16;15;15;1;0
94768;Vlad Ţepeş;1857;19;11;10;0;0;0;5;1;2;27;19;18;12;7;6
100610;Olteniţa;25231;181;109;100;11;25;21;10;0;0;227;151;142;146;5;-4
100638;Mitreni;3786;28;17;15;0;0;0;8;2;0;38;27;25;20;7;5
101083;Belciugatele;1982;19;11;10;0;0;0;8;0;0;27;19;18;13;6;5
101458;Budeşti;7493;65;39;36;5;0;0;5;2;0;77;51;48;54;-3;-6
101724;Căscioarele;1514;17;10;9;0;0;0;3;0;0;20;13;12;12;1;0
101804;Chirnogi;6788;43;26;24;0;0;0;3;2;0;48;31;29;37;-6;-8
101822;Chiselet;3065;23;14;13;0;0;0;8;2;0;33;24;23;25;-1;-2
102419;Curcani;5207;31;19;17;0;0;0;3;1;0;35;23;21;23;0;-2
102838;Frăsinet;1534;17;10;9;0;0;0;3;1;0;21;14;13;17;-3;-4
102945;Frumuşani;5093;30;18;17;0;0;0;10;2;0;42;30;29;25;5;4
103014;Fundeni;4466;30;18;17;0;0;0;0;1;0;31;19;18;23;-4;-6
103032;Fundulea;6395;59;35;32;3;0;0;5;2;4;73;49;46;41;8;5
103568;Gurbăneşti;967;16;10;9;0;0;0;5;1;0;22;16;15;14;2;1
103764;Ileana;2893;22;13;12;0;0;0;3;2;2;29;20;19;21;-1;-2
104083;Luica;1961;18;11;10;0;0;0;8;2;5;33;26;25;13;13;12
104181;Mânăstirea;4983;32;19;18;0;0;0;8;2;4;46;33;32;21;12;11
104323;Nana;2213;21;13;12;0;0;0;3;1;0;25;17;16;21;-4;-5
104341;Nicolae Bălcescu;1559;17;10;9;0;0;0;0;1;0;18;11;10;13;-2;-3
104635;Plătăreşti;3172;24;14;13;0;0;0;3;2;1;30;20;19;18;2;1
104751;Radovanu;3446;29;17;16;0;3;3;8;1;1;42;30;29;21;9;8
104886;Săruleşti;2934;22;13;12;0;0;0;0;3;0;25;16;15;17;-1;-2
105222;Sohatu;2219;22;13;12;0;0;0;0;0;0;22;13;12;11;2;1
105259;Spanţov;4614;30;18;17;0;0;0;5;2;3;40;28;27;25;3;2
105384;Şoldanu;3234;23;14;13;0;0;0;0;0;1;24;15;14;16;-1;-2
105455;Tămădău Mare;2397;21;13;12;0;0;0;5;0;0;26;18;17;17;1;0
105605;Ulmeni;4547;30;18;17;0;0;0;8;2;0;40;28;27;27;1;-1
105712;Valea Argovei;2204;21;13;12;0;0;0;5;1;0;27;19;18;21;-2;-3
105829;Vasilaţi;4092;29;17;16;0;0;0;8;0;0;37;25;24;23;2;1
179962;Gălbinaşi;3659;24;14;13;0;0;0;0;2;0;26;16;15;21;-5;-6
180055;Crivăţ;1767;19;11;10;3;0;0;8;1;0;31;23;22;17;6;5
118;CJ Caraş-Severin;300931;358;215;197;20;0;0;10;0;0;388;245;227;260;-15;-33
50790;Reşiţa;78678;575;345;316;14;79;66;10;0;0;678;435;406;465;-30;-59
50889;Anina;8366;75;45;41;3;8;7;8;1;2;97;66;62;61;5;1
50923;Băile Herculane;4392;53;32;29;3;0;0;8;0;0;64;43;40;37;6;3
50969;Bocşa;18265;130;78;72;3;18;15;0;1;0;152;97;91;79;18;12
50987;Ocna De Fier;682;10;6;6;0;0;0;3;0;0;13;9;9;7;2;2
51010;Caransebeş;28138;191;115;105;5;28;23;10;0;2;236;155;145;176;-21;-31
51056;Moldova Nouă;12287;102;61;56;3;12;10;10;0;2;129;86;81;75;11;6
51118;Oraviţa;11856;100;60;55;5;0;0;8;0;2;115;75;70;81;-6;-11
51207;Oţelu Roşu;11586;94;56;52;3;12;10;5;2;0;116;76;71;85;-9;-14
51243;Armeniş;2229;21;13;12;3;0;0;5;0;0;29;21;20;20;1;0
51305;Bănia;1549;17;10;9;0;0;0;3;0;0;20;13;12;14;-1;-2
51332;Băuţar;2296;22;13;12;3;0;0;0;1;9;35;26;25;24;2;1
51387;Berlişte;1209;15;9;8;0;0;0;3;1;0;19;13;12;11;2;1
51449;Berzasca;2415;22;13;12;3;0;0;5;1;4;35;26;25;28;-2;-3
51500;Berzovia;3786;27;16;15;3;0;0;5;1;2;38;27;26;27;0;-1
51546;Bolvaşniţa;1280;16;10;9;0;0;0;3;1;0;20;14;13;17;-3;-4
51573;Bozovici;2690;22;13;12;3;0;0;5;1;2;33;24;23;20;4;3
51626;Brebu;1091;14;8;8;3;0;0;5;0;2;24;18;18;14;4;4
51662;Brebu Nou;303;10;6;6;0;0;0;3;0;0;13;9;9;5;4;4
51699;Buchin;2013;18;11;10;3;0;0;0;0;2;23;16;15;18;-2;-3
51751;Bucoşniţa;2782;22;13;12;3;0;0;0;0;0;25;16;15;20;-4;-5
51804;Caraşova;2746;22;13;12;3;0;0;5;1;0;31;22;21;17;5;4
51840;Cărbunari;807;13;8;7;0;0;0;0;1;0;14;9;8;13;-4;-5
51877;Constantin Daicoviciu;2663;22;13;12;3;0;0;0;0;0;25;16;15;16;0;-1
51948;Ciclova Română;1577;17;10;9;0;0;0;3;1;0;21;14;13;15;-1;-2
51984;Ciuchici;1096;14;8;8;0;0;0;3;1;0;18;12;12;14;-2;-2
52035;Ciudanoviţa;545;10;6;6;0;0;0;3;0;0;13;9;9;11;-2;-3
52062;Copăcele;1039;15;9;8;0;0;0;2;0;0;17;11;10;12;-1;-2
52115;Cornea;1648;17;10;9;3;0;0;5;0;0;25;18;17;15;3;2
52160;Cornereva;2743;22;13;12;3;3;2;3;1;0;32;22;21;23;-1;-2
52570;Dalboşeţ;1505;17;10;9;0;0;0;3;0;0;20;13;12;15;-2;-3
52650;Doclin;1793;17;10;9;0;0;0;0;0;2;19;12;11;15;-3;-4
52696;Dognecea;2175;19;11;10;3;0;0;8;0;0;30;22;21;17;5;4
52721;Domaşnea;1226;16;10;9;0;0;0;5;0;0;21;15;14;12;3;2
52758;Ezeriş;1317;16;10;9;0;0;0;3;0;0;19;13;12;9;4;3
52785;Fârliug;1687;17;10;9;3;0;0;5;1;2;28;21;20;15;6;5
52856;Forotic;1629;17;10;9;0;0;0;5;0;2;24;17;16;16;1;0
52909;Gârnic;1246;16;10;9;0;0;0;5;0;2;23;17;16;15;2;1
52936;Glimboca;1802;17;10;9;0;3;2;0;0;0;20;12;11;12;0;-1
52954;Goruia;732;11;7;6;0;0;0;5;0;0;16;12;11;10;2;1
52990;Grădinari;1943;19;11;10;0;0;0;0;0;2;21;13;12;13;0;-1
53023;Iablaniţa;1994;20;12;11;0;0;0;5;0;0;25;17;16;13;4;3
53069;Lăpuşnicel;864;16;10;9;0;0;0;0;0;0;16;10;9;13;-3;-4
53103;Lăpuşnicu Mare;1480;17;10;9;0;0;0;3;1;0;21;14;13;10;4;3
53130;Luncaviţa;2113;22;13;12;0;0;0;0;0;0;22;13;12;11;2;1
53167;Lupac;2476;22;13;12;0;0;0;3;0;0;25;16;15;12;4;3
53210;Marga;1018;15;9;8;0;0;0;0;0;2;17;11;10;17;-6;-7
53247;Măureni;2920;22;13;12;0;0;0;5;1;2;30;21;20;18;3;2
53274;Mehadia;3913;28;17;15;3;0;0;3;1;0;35;24;22;25;-1;-3
53327;Mehadica;621;10;6;6;0;0;0;0;0;2;12;8;8;11;-3;-4
53345;Naidăş;1071;14;8;8;0;0;0;3;1;0;18;12;12;14;-2;-2
53372;Obreja;3319;24;14;13;3;0;0;5;0;0;32;22;21;20;2;1
53425;Păltiniş;2387;22;13;12;3;0;0;5;0;0;30;21;20;17;4;3
53489;Coronini;1932;17;10;9;3;0;0;5;1;0;26;19;18;16;3;2
53513;Pojejena;2632;22;13;12;3;0;0;5;1;0;31;22;21;25;-3;-4
53577;Prigor;2257;22;13;12;0;0;0;5;1;2;30;21;20;21;0;-1
53639;Ramna;1495;17;10;9;0;0;0;0;0;0;17;10;9;14;-4;-5
53675;Răcăşdia;2025;18;11;10;0;0;0;3;1;0;22;15;14;16;-1;-2
53700;Eftimie Murgu;1419;17;10;9;0;0;0;0;1;0;18;11;10;15;-4;-5
53728;Rusca Montană;1717;17;10;9;0;3;1;0;1;0;21;13;12;16;-3;-4
53755;Sacu;1529;17;10;9;0;0;0;3;0;0;20;13;12;13;0;-1
53791;Sasca Montană;1418;17;10;9;0;0;0;5;1;0;23;16;15;16;0;-1
53853;Sicheviţa;1968;20;12;11;0;0;0;3;0;0;23;15;14;16;-1;-2
54056;Slatina-Timiş;2845;22;13;12;3;0;0;0;0;0;25;16;15;18;-2;-3
54109;Socol;2077;18;11;10;0;0;0;3;1;0;22;15;14;16;-1;-2
54163;Şopotu Nou;1015;16;10;9;0;0;0;0;1;0;17;11;10;13;-2;-3
54270;Teregova;3676;27;16;15;3;4;3;5;1;0;40;28;27;29;-1;-2
54305;Ticvaniu Mare;1943;18;11;10;0;0;0;3;0;0;21;14;13;14;0;-1
54350;Târnova;1611;17;10;9;3;0;0;3;0;2;25;18;17;16;2;1
54387;Topleţ;2432;22;13;12;0;0;0;0;0;0;22;13;12;11;2;1
54412;Turnu Ruieni;3425;24;14;13;3;3;3;5;1;2;38;28;27;25;3;2
54485;Văliug;763;11;7;6;0;0;0;0;0;2;13;9;8;12;-3;-4
54500;Vărădia;1395;17;10;9;0;0;0;0;0;0;17;10;9;13;-3;-4
54537;Vermeş;1431;17;10;9;0;0;0;5;0;0;22;15;14;14;1;0
54573;Vrani;1076;15;9;8;0;0;0;5;1;0;21;15;14;10;5;4
54617;Zăvoi;3842;28;17;15;3;4;3;5;1;2;43;31;30;27;4;3
54699;Zorlenţu Mare;1020;12;7;7;0;3;1;5;0;0;20;13;12;8;5;4
127;CJ Cluj;744031;698;419;384;50;0;0;10;0;0;758;479;444;585;-106;-141
54975;Cluj-Napoca;327091;800;480;440;63;327;273;10;0;0;1200;826;786;961;-135;-175
55008;Dej;36537;257;154;141;10;37;30;10;1;0;315;206;193;231;-25;-38
55062;Cuzdrioara;2978;22;13;12;0;0;0;3;0;2;27;18;17;17;1;0
55106;Jichişu De Jos;1074;15;9;8;0;0;0;2;0;0;17;11;10;11;0;-1
55160;Mica;3576;26;16;14;0;0;0;5;1;0;32;22;20;14;8;6
55259;Turda;52554;411;247;226;12;53;44;10;1;20;507;333;313;313;20;0
55277;Mihai Viteazu;5865;33;20;18;0;6;5;5;0;0;44;30;28;34;-4;-6
55311;Sănduleşti;2191;19;11;10;0;3;2;5;0;0;27;18;17;17;1;0
55357;Câmpia Turzii;26009;180;108;99;8;26;22;10;0;0;224;148;139;135;13;4
55384;Gherla;22011;171;103;94;8;22;18;10;1;0;212;140;131;155;-15;-24
55446;Huedin;9176;75;45;41;6;9;8;8;1;0;99;68;64;67;1;-3
55473;Aghireşu;6328;39;23;21;0;6;5;5;1;0;51;35;33;20;15;13
55598;Aiton;983;14;8;8;0;3;1;5;0;0;22;14;14;9;5;5
55623;Aluniş;1053;15;9;8;0;0;0;0;0;2;17;11;10;13;-2;-3
55687;Apahida;17067;60;36;33;0;17;14;10;1;0;88;61;58;48;13;10
55776;Aşchileu;1415;17;10;9;0;0;0;5;1;0;23;16;15;9;7;6
55838;Baciu;14125;60;36;33;0;14;12;10;0;0;84;58;55;42;16;13
55918;Băişoara;1951;19;11;10;0;3;2;5;1;0;28;19;18;20;-1;-2
56014;Beliş;1224;16;10;9;0;3;1;5;1;2;27;19;18;14;5;4
56096;Bobâlna;1284;17;10;9;0;0;0;3;1;0;21;14;13;12;2;1
56210;Bonţida;4756;30;18;17;0;0;0;5;0;1;36;24;23;24;0;-2
56265;Borşa;1287;16;10;9;0;0;0;5;1;4;26;20;19;10;10;9
56327;Buza;1128;16;10;9;0;0;0;5;0;0;21;15;14;10;5;4
56354;Căianu;2280;21;13;12;0;3;2;5;1;0;30;21;19;15;6;4
56425;Călăraşi;2292;22;13;12;0;3;2;3;0;1;29;19;18;20;-1;-2
56461;Călăţele;2423;21;13;12;0;3;2;5;2;2;33;24;23;15;9;8
56522;Cămăraşu;2598;22;13;12;0;0;0;5;0;0;27;18;17;15;3;2
56568;Căpuşu Mare;2916;22;13;12;0;3;2;5;1;0;31;22;21;28;-6;-7
56666;Căşeiu;4700;30;18;17;0;0;0;5;1;0;36;24;23;20;4;3
56773;Cătina;1558;17;10;9;0;0;0;5;1;0;23;16;15;15;1;0
56844;Ceanu Mare;3569;27;16;15;0;4;3;3;0;0;34;22;21;22;0;-1
56988;Chinteni;4157;27;16;15;0;4;3;3;1;3;38;27;25;27;0;-2
57083;Chiuieşti;2251;22;13;12;0;0;0;3;1;6;32;23;22;20;3;2
57163;Ciucea;1442;17;10;9;0;0;0;5;0;0;22;15;14;14;1;0
57225;Ciurila;1761;17;10;9;0;3;1;8;1;0;29;21;20;15;6;5
57314;Câţcău;2198;21;13;12;0;0;0;5;0;0;26;18;17;17;1;0
57350;Cojocna;4115;29;17;16;0;4;3;5;1;1;40;28;26;22;6;4
57449;Corneşti;1274;17;10;9;0;0;0;5;1;2;25;18;17;35;-17;-18
57546;Dăbâca;1353;17;10;9;0;0;0;5;1;4;27;20;19;18;2;1
57582;Feleacu;4763;30;18;17;0;0;0;5;0;0;35;23;22;21;2;1
57644;Fizeşu Gherlii;2565;22;13;12;0;0;0;5;0;0;27;18;17;13;5;4
57706;Floreşti;53100;65;39;36;8;53;44;10;1;2;139;104;101;97;7;4
57742;Frata;3761;27;16;15;0;4;3;5;1;0;37;25;24;25;0;-1
57831;Geaca;1376;17;10;9;0;0;0;5;0;0;22;15;14;12;3;2
57902;Gilău;9203;43;26;24;0;9;8;8;0;0;60;41;39;43;-2;-4
57948;Gârbău;2126;22;13;12;0;3;2;5;0;0;30;20;19;7;13;12
58008;Iara;3589;29;17;16;0;4;3;8;0;0;41;28;27;26;2;1
58142;Iclod;4146;29;17;16;0;0;0;3;1;3;36;24;23;27;-3;-4
58204;Izvoru Crişului;1419;17;10;9;0;3;1;5;1;0;26;17;17;16;1;1
58259;Jucu;5277;30;18;17;0;5;4;8;0;0;43;30;29;38;-8;-9
58311;Luna;4578;30;18;17;0;5;4;5;0;0;40;27;25;22;5;3
58357;Măguri-Răcătău;2243;20;12;11;0;0;0;5;1;0;26;18;17;18;0;-1
58393;Mănăstireni;1293;17;10;9;0;3;1;3;0;0;23;14;13;15;-1;-2
58464;Mărgău;1481;17;10;9;0;0;0;5;0;0;22;15;14;12;3;2
58534;Mărişel;1445;17;10;9;0;3;1;8;0;0;28;19;19;16;3;3
58552;Mintiu Gherlii;3812;26;16;14;0;4;3;5;0;0;35;24;22;19;5;3
58623;Mociu;3157;23;14;13;0;3;3;5;1;1;33;23;22;19;4;3
58721;Moldoveneşti;3186;23;14;13;0;3;3;8;1;2;37;27;26;22;5;4
58794;Pălatca;1001;14;8;8;0;3;1;8;0;1;26;18;18;10;8;8
58856;Panticeu;1695;17;10;9;0;0;0;5;1;0;23;16;15;12;4;3
58918;Petreştii De Jos;1439;17;10;9;0;3;1;5;1;0;26;17;17;11;6;6
58990;Ploscoş;605;10;6;6;0;0;0;5;1;0;16;12;12;7;5;5
59041;Poieni;4514;30;18;17;0;0;0;10;0;1;41;29;28;20;9;8
59130;Recea-Cristur;1345;17;10;9;0;0;0;5;1;0;23;16;15;14;2;1
59238;Rişca;1284;16;10;9;0;0;0;5;0;1;22;16;15;14;2;1
59283;Săcuieu;1378;16;10;9;0;0;0;10;1;0;27;21;20;12;9;8
59327;Săvădisla;4112;30;18;17;0;0;0;8;1;0;39;27;26;24;3;2
59416;Sic;2193;21;13;12;0;0;0;3;0;0;24;16;15;15;1;0
59434;Sâncraiu;1489;17;10;9;0;0;0;5;1;0;23;16;15;14;2;1
59498;Sânmărtin;1225;16;10;9;0;0;0;5;0;0;21;15;14;10;5;4
59586;Sânpaul;2222;22;13;12;0;0;0;5;0;0;27;18;17;10;8;7
59657;Suatu;1447;17;10;9;0;0;0;5;0;0;22;15;14;13;2;1
59693;Tritenii De Jos;4399;30;18;17;0;4;4;3;0;0;37;25;23;23;2;0
59764;Tureni;2184;21;13;12;0;3;2;8;2;0;34;24;23;15;9;8
59826;Ţaga;1609;17;10;9;0;0;0;5;0;0;22;15;14;13;2;1
59880;Unguraş;2452;22;13;12;0;0;0;5;1;0;28;19;18;16;3;2
59942;Vad;1944;17;10;9;0;3;2;5;1;5;31;23;22;17;6;5
60026;Valea Ierii;873;11;7;6;0;0;0;3;1;5;20;16;15;15;1;0
60062;Viişoara;5940;33;20;18;0;6;5;5;1;0;45;31;29;19;12;10
60099;Vultureni;1447;16;10;9;0;0;0;5;1;2;24;18;17;14;4;3
60169;Negreni;2164;21;13;12;0;0;0;5;0;3;29;21;20;15;6;5
136;CJ Constanţa;748860;628;377;345;50;150;120;10;0;15;853;572;540;182;390;358
60419;Constanţa;298453;687;412;378;46;298;249;10;1;0;1042;718;684;634;84;50
60455;Eforie;10711;75;45;41;3;11;9;10;0;6;105;73;69;59;14;10
60482;Mangalia;38457;215;129;118;9;38;32;10;2;0;274;182;171;227;-45;-56
60507;Năvodari;43522;170;102;94;8;44;36;10;0;0;232;156;148;204;-48;-56
60534;Techirghiol;8635;65;39;36;3;9;7;8;1;26;112;84;81;51;33;30
60570;Agigea;9530;39;23;21;3;10;8;5;0;0;57;39;37;41;-2;-4
60598;23 August;5765;29;17;16;0;6;5;5;1;0;41;28;27;24;4;3
60632;Limanu;6824;33;20;18;0;7;6;5;0;0;45;30;29;30;0;-1
60687;Ovidiu;16345;113;68;62;7;16;14;8;1;0;145;97;92;74;23;18
60721;Tuzla;7092;35;21;19;0;7;6;5;0;0;47;32;30;34;-2;-4
60776;Cernavodă;17827;117;70;64;4;18;15;10;0;0;149;99;93;113;-14;-20
60801;Hârşova;10628;74;44;41;4;11;9;10;0;0;99;67;64;76;-9;-12
60847;Medgidia;42682;239;143;131;11;43;36;10;1;0;304;201;189;303;-102;-114
60883;Adamclisi;2231;17;10;9;3;3;2;5;1;2;31;23;22;21;2;1
60945;Albeşti;3843;23;14;13;0;4;3;5;0;0;32;22;21;22;0;-1
61005;Aliman;2706;20;12;11;0;0;0;3;0;0;23;15;14;16;-1;-2
61069;Băneasa;5745;29;17;16;4;0;0;5;1;0;39;27;26;28;-1;-2
61121;Castelu;5779;28;17;15;3;6;5;10;0;0;47;35;33;34;1;-1
61167;Cerchezu;1292;14;8;8;0;0;0;5;0;0;19;13;13;12;1;1
61210;Chirnogeni;3137;20;12;11;0;0;0;0;1;0;21;13;12;20;-7;-8
61256;Ciobanu;3522;21;13;12;0;0;0;0;0;0;21;13;12;18;-5;-6
61283;Ciocârlia;3119;20;12;11;0;0;0;0;2;0;22;14;13;20;-6;-7
61318;Cobadin;9453;39;23;21;0;9;8;8;1;0;57;40;38;46;-6;-8
61372;Cogealac;5136;27;16;15;3;0;0;0;0;0;30;19;18;24;-5;-6
61452;Comana;1958;15;9;8;0;0;0;5;0;0;20;14;13;15;-1;-2
61513;Corbu;6562;32;19;18;0;7;5;0;0;0;39;25;23;29;-4;-6
61559;Crucea;2993;20;12;11;3;0;0;8;0;5;36;28;27;22;6;5
61620;Cumpăna;16459;54;32;30;3;16;14;8;0;3;84;60;57;67;-7;-10
61675;Deleni;2345;18;11;10;0;3;2;8;0;0;29;21;20;23;-2;-3
61737;Dobromir;3985;23;14;13;0;0;0;0;1;0;24;15;14;20;-5;-6
61808;Gârliciu;1487;15;9;8;0;0;0;5;1;0;21;15;14;16;-1;-2
61826;Ghindăreşti;2566;20;12;11;0;0;0;0;1;0;21;13;12;19;-6;-7
61871;Independenţa;2848;20;12;11;0;0;0;5;1;0;26;18;17;20;-2;-3
61951;Ion Corvin;1946;15;9;8;0;0;0;5;2;0;22;16;15;14;2;1
62020;Istria;2433;19;11;10;0;0;0;0;0;0;19;11;10;18;-7;-8
62057;Lipniţa;2908;20;12;11;0;0;0;8;1;0;29;21;20;18;3;2
62137;Mereni;2446;19;11;10;0;0;0;3;1;0;23;15;14;11;4;3
62191;Mihail Kogălniceanu;9789;39;23;21;0;10;8;10;0;0;59;42;40;45;-3;-5
62253;Mihai Viteazu;3736;23;14;13;0;0;0;8;1;0;32;23;22;18;5;4
62280;Mircea Vodă;5479;27;16;15;0;5;5;5;1;0;38;27;25;30;-3;-5
62360;Murfatlar;10570;74;44;41;3;11;9;10;1;0;99;67;64;86;-19;-22
62397;Negru Vodă;5391;48;29;26;3;0;0;8;0;0;59;40;37;40;0;-3
62440;Nicolae Bălcescu;5360;27;16;15;0;5;4;8;0;0;40;29;27;23;6;4
62486;Oltina;2370;19;11;10;0;3;2;8;0;8;38;29;28;14;15;14
62538;Ostrov;4614;27;16;15;0;0;0;3;0;0;30;19;18;27;-8;-9
62609;Pantelimon;1881;15;9;8;0;0;0;5;1;0;21;15;14;18;-3;-4
62672;Pecineaga;3448;21;13;12;0;3;3;5;1;1;31;22;21;22;0;-1
62707;Peştera;3478;21;13;12;0;3;3;5;0;0;29;20;19;21;-1;-2
62761;Poarta Albă;5917;29;17;16;0;6;5;8;1;0;44;31;30;25;6;5
62798;Rasova;3664;22;13;12;0;4;3;5;1;0;32;22;21;17;5;4
